,CurrentRegion,Latitude,Longitude,Region
0,Afghanistan,33.93911,67.709953,afghanistan
1,Africa,-8.783195,34.508523,africa
2,Central African Republic,6.611110999999999,20.939444,central-africa
3,East Africa,1.957709,37.2972044,eastern-africa
4,Egypt,26.820553,30.802498,egypt
5,Central Africa,2.3184621,19.5687103,middle-africa
6,North Africa,26.0197776,32.277834,northern-africa
7,Southern Africa,-24.3570767,19.5687103,southern-africa
8,West Africa,13.531665,-2.4604145,western-africa
9,Iraq,33.223191,43.679291,al-qadisiyah
10,Algeria,28.033886,1.659626,algeria
11,China,35.86166,104.195397,amdo
12,Türkiye,38.963745,35.243322,anatolia
13,USA,38.0049214,-121.805789,antioch
14,Persian Gulf (also known as the Arabian Gulf),26.7505337,51.6834275,arabian-gulf
15,Arabia,19.4914108,47.4490397,arabian-peninsula
16,Asia,34.047863,100.6196553,asia
17,Caucasus,43.5851814,45.0,caucasus
18,Central Asia,45.4506875,68.8319005,central-asia
19,East Asia,38.7945952,106.5348379,east-asia
20,Himalayas,28.5983159,83.9310039,himalayas
21,Asia,34.047863,100.6196553,inner-asia
22,Russia,61.52401,105.318756,north-asia
23,South Asia,25.03764,76.4563087,south-asia
24,South East Asia,-2.2179704,115.66283,southeast-asia
25,Asia,34.047863,100.6196553,southwest-asia
26,Asia,34.047863,100.6196553,western-asia
27,Türkiye,38.963745,35.243322,asia-minor
28,India,26.2006043,92.9375739,assam
29,Australia,-25.274398,133.775136,australia
30,Iraq,33.315241,44.3660671,baghdad
31,Balkans,41.8101472,21.0937311,balkans
32,Bangladesh,23.684994,90.356331,bangladesh
33,Iraq,30.5257657,47.77379699999999,basra
34,Borneo,0.9618833999999999,114.5548495,borneo
35,Brazil,-14.235004,-51.92528,brazil
36,Türkiye,38.963745,35.243322,byzantium
37,Türkiye,41.0082376,28.9783589,constantinople
38,Israel,31.046051,34.851612,caanan
39,Israel,31.046051,34.851612,canaan
40,Canada,56.130366,-106.346771,canada
41,Tunisia,33.886917,9.537499,carthage
42,Azerbaijan,39.2009126,45.4082269,nakhchivan-autonomous-republic
43,China,43.7934299,87.6271,xinjiang/east-turkestan
44,Vietnam,14.6516511,108.4276047,central-vietnam
