Region,Name,Source,TimeFrame,Attributes,ReligiousGroup,ReligiousPlace,CleanedAttributes,Start_year,End_year,CurrentRegion,Latitude,Longitude,Continent,count_by_continent,count_by_region
africa,Ancient Egypt - Early Dynastic Period,No Source,2950 BCE - 2670 BCE,"Religious Group,African Religions,Egyptian Religions",1,0,"['African Religions', 'Egyptian Religions']",-2950,-2670,Africa,-8.783195,34.508523,Africa,391,148
africa,Ancient Egypt - First Intermediate Period,No Source,2168 BCE - 2010 BCE,"Religious Group,African Religions,Egyptian Religions",1,0,"['African Religions', 'Egyptian Religions']",-2168,-2010,Africa,-8.783195,34.508523,Africa,391,148
africa,Ancient Egypt - Old Kingdom,No Source,2670 BCE - 2168 BCE,"Religious Group,African Religions,Egyptian Religions",1,0,"['African Religions', 'Egyptian Religions']",-2670,-2168,Africa,-8.783195,34.508523,Africa,391,148
africa,Ancient Egypt - Predynastic Period - Early Naqada Culture,No Source,4000 BCE - 2950 BCE,"Religious Group,African Religions,Prehistoric Religion,Egyptian Religions",1,0,"['African Religions', 'Prehistoric Religion', 'Egyptian Religions']",-4000,-2950,Africa,-8.783195,34.508523,Africa,391,148
africa,Ancient Egypt - the Ramesside Period,No Source,1292 BCE - 1070 BCE,"Religious Group,Egyptian Religions,African Religions",1,0,"['Egyptian Religions', 'African Religions']",-1292,-1070,Africa,-8.783195,34.508523,Africa,391,148
africa,Heliopolis Project,No Source,3500 BCE - 2021 CE,"Religious Group,Religious Place,Early Christianity,Aegean,Egyptian Religions,Islamic Traditions,Monument,Shrine,Open-Air Sanctuary,Religious Complex,Temenos,Constantine,Temple,Sacred Enclosure,Altar,shrines,Hellenistic Religions,Greece,Egypt,City,Cemetery,Alexandria,Graeco-Roman,Tomb,Archaeological monument",1,1,"['Early Christianity', 'Aegean', 'Egyptian Religions', 'Islamic Traditions', 'Monument', 'Shrine', 'Open-Air Sanctuary', 'Religious Complex', 'Temenos', 'Constantine', 'Temple', 'Sacred Enclosure', 'Altar', 'shrines', 'Hellenistic Religions', 'Greece', 'Egypt', 'City', 'Cemetery', 'Alexandria', 'Graeco-Roman', 'Tomb', 'Archaeological monument']",-3500,2021,Africa,-8.783195,34.508523,Africa,391,148
africa,Religion at Tell el-Dab'a (ancient Avaris) in Ancient Egypt,No Source,1960 BCE - 1550 BCE,"Religious Group,Levantine Religion,Egyptian Religions,Canaanite Religions",1,0,"['Levantine Religion', 'Egyptian Religions', 'Canaanite Religions']",-1960,-1550,Africa,-8.783195,34.508523,Africa,391,148
africa,Religion in Greco-Roman Alexandria,No Source,300 BCE - 200 CE,"Religious Group,Egyptian Religions,Hellenistic Religions,Greek Cult,Roman Religious Traditions,Jewish Traditions",1,0,"['Egyptian Religions', 'Hellenistic Religions', 'Greek Cult', 'Roman Religious Traditions', 'Jewish Traditions']",-300,200,Africa,-8.783195,34.508523,Africa,391,148
africa,The Pyramid of Unas,No Source,2345 BCE - 2315 BCE,"Religious Group,Religious Place,African Religions,Tomb,Egypt",1,1,"['African Religions', 'Tomb', 'Egypt']",-2345,-2315,Africa,-8.783195,34.508523,Africa,391,148
africa,The Tomb of Meresankh III,No Source,2620 BCE - 2570 BCE,"Religious Place,Religious Group,Egyptian Religions,Tomb,Archaeological monument",1,1,"['Egyptian Religions', 'Tomb', 'Archaeological monument']",-2620,-2570,Africa,-8.783195,34.508523,Africa,391,148
africa,Third Intermediate Period in Ancient Egypt,No Source,1100 BCE - 650 BCE,"Religious Group,African Religions,Egyptian Religions",1,0,"['African Religions', 'Egyptian Religions']",-1100,-650,Africa,-8.783195,34.508523,Africa,391,148
