region,Group,details
afghanistan,Chishti Sufis,"['Supervised by: Stephen Christopher', '1200 CE - 2020 CE', 'Religious Group, Sufi, Islamic Traditions, South Asian Religion, Indic Religious Traditions']"
africa,African Initiated Churches,"['1900 CE - 2022 CE', 'Religious Group, pentecostal, African Religions, Christian Traditions, African Religion, Liberation Theology, Religious Practice, Born Again Christianity']"
africa,Ancient Egypt - Early Dynastic Period,"['2950 BCE - 2670 BCE', 'Religious Group, African Religions, Egyptian Religions']"
africa,Ancient Egypt - First Intermediate Period,"['2168 BCE - 2010 BCE', 'Religious Group, African Religions, Egyptian Religions']"
africa,Ancient Egypt - Old Kingdom,"['2670 BCE - 2168 BCE', 'Religious Group, African Religions, Egyptian Religions']"
africa,Ancient Egypt - Predynastic Period - Early Naqada Culture,"['4000 BCE - 2950 BCE', 'Religious Group, African Religions, Prehistoric Religion, Egyptian Religions']"
africa,Ancient Egypt - the Ramesside Period,"['1292 BCE - 1070 BCE', 'Religious Group, Egyptian Religions, African Religions']"
africa,Diya'u al-Ta'aweel fee Ma'ani al-Tanzeel (The Bright interpretation of the meanings of the Qur'an),"['1766 CE - 1828 CE', ""Religious Group, Text, Qur'anic commentary (Tafsir), African Religion, Shari'a, Islamic Traditions""]"
africa,Heliopolis Project,"['3500 BCE - 2021 CE', 'Religious Group, Religious Place, Early Christianity, Aegean, Egyptian Religions, Islamic Traditions, Monument, Shrine, Open-Air Sanctuary, Religious Complex, Temenos, Constantine, Temple, Sacred Enclosure, Altar, shrines, Hellenistic Religions, Greece, Egypt, City, Cemetery, Alexandria, Graeco-Roman, Tomb, Archaeological monument']"
africa,maqame sidi Ahmed Tliliزاوية سيدي أحمد التليلي,"['1733 CE - 2023 CE', 'Religious Group, Religious Place, Sufi, Tunisia, North Africa, Maghreb Religions, Islamic Traditions, Mysticism, Sufi Order']"
africa,"Monastic Communities of Lower Egypt: Nitria, Kellia, Scetis","['330 CE - 470 CE', 'Religious Group, Christian Traditions, Early Christianity']"
africa,Nigerian Pentecostalism,"['1910 CE - 2020 CE', 'Religious Group, African Religions, Apocalyptic Movements, New Religious Movement, Christianity of the global South, Born Again Christianity, Evangelical religion, Aladura']"
africa,Religion at Tell el-Dab'a (ancient Avaris) in Ancient Egypt,"['1960 BCE - 1550 BCE', 'Religious Group, Levantine Religion, Egyptian Religions, Canaanite Religions']"
africa,Religion in Greco-Roman Alexandria,"['300 BCE - 200 CE', 'Religious Group, Egyptian Religions, Hellenistic Religions, Greek Cult, Roman Religious Traditions, Jewish Traditions']"
africa,The Early Christian Basilicas of Ancient Aksūm (modern Ethiopia and Eritrea),"['300 CE - 800 CE', 'Religious Group, Religious Place, Archaeological Site, Basilica, Abrahamic, Christian Traditions, Archaeological monument, Religious Complex']"
africa,"The New Prophecy or ""Montanism""","['165 CE - 550 CE', 'Religious Group, Roman Religions, Early Christianity, Anatolian Religions, Montanism, New Prophecy, Apocalyptic Movements, Rome, Gaul, Carthage, Christian Traditions, Tertullian, Phrygia, Prophecy, Heresy, Asia Minor, Roman Religious Traditions']"
africa,The Old Monastery of Baramus,"['Secondary source: Multiple References', '380 CE - 1500 CE', 'Religious Place, Religious Group, Monasticism, Early Christian Monasticism in Egypt, Christian Traditions, Monastery, Egypt']"
africa,The Pyramid of Unas,"['2345 BCE - 2315 BCE', 'Religious Group, Religious Place, African Religions, Tomb, Egypt']"
africa,The Sayings of the Desert Fathers,"['390 CE - 500 CE', 'Religious Group, Text, Early Christian Monasticism in Egypt, Sayings Text (Greek: Apophthegmata)']"
africa,The Tomb of Meresankh III,"['2620 BCE - 2570 BCE', 'Religious Place, Religious Group, Egyptian Religions, Tomb, Archaeological monument']"
